ticker,last_close,expected_close_20d,expected_return_20d,median_return_20d,probability_up,downside_p10,expected_peak_return_20d,forecast_dispersion,predicted_up,rank
SSMS,995.0,1259.6674,0.26599736966080406,0.3578482009657664,1.0,0.11594567073649498,0.29991461212311554,0.1354520385383565,True,1
MGNA,123.0,152.49759,0.2398177356254764,0.012533668580094082,0.6,-0.0951840160338859,0.41851561011337646,0.5633823212223206,True,2
TAMA,230.0,272.82117,0.18617897365404218,0.01300566300101913,0.6,-0.045577326235563875,0.24678517217221468,0.2861785237655916,True,3
RSCH,310.0,363.09103,0.17126141948084678,0.20414792952998995,1.0,0.07095116399949593,0.18315394247731853,0.09275536404070761,True,4
BAIK,780.0,908.6291,0.1649091515174279,0.18292048527644234,1.0,0.08227492112379814,0.18212849934895833,0.08132981574019105,True,5
KKES,67.0,77.20861,0.15236734418726677,0.17053461786526358,1.0,0.02206042844857743,0.1631351755626166,0.12492598125993275,True,6
MDIA,175.0,201.26442,0.15008238002232138,0.22295427594866069,0.8,0.017469935825892832,0.1847035784040178,0.12367672099374924,True,7
GULA,855.0,979.6898,0.14583603172971488,0.1588408888432018,1.0,0.0936367815698099,0.20408036081414474,0.04823310170913715,True,8
KLIN,119.0,133.68979,0.12344360351562497,-0.00819422617679888,0.4,-0.1301702162798713,0.20186296991941308,0.3000491302844371,False,9
PURA,31.0,34.012917,0.09719089385001893,-0.011747175647366381,0.4,-0.023864918370400723,0.11696927470545615,0.20870561134925378,False,10
BSML,515.0,552.52826,0.07287044191823425,0.11255025030339816,0.6,-0.07169047235285195,0.10711880878337376,0.13207928733610205,True,11
ECII,163.0,173.8655,0.06665946164745495,-0.10573320447301571,0.2,-0.2669863929046444,0.24596243080185962,0.5505611066186952,False,12
UNSP,206.0,217.81071,0.057333611053170544,0.061101080144493336,1.0,0.05168240741618635,0.0583902007167779,0.005158819515052464,True,13
WGSH,156.0,164.85217,0.05674471732897637,0.08949671036157847,0.8,-0.10849102704952923,0.11722351465469752,0.1617722880879767,True,14
AKRA,1455.0,1536.9553,0.056326614851804145,0.07913117818406357,0.8,-0.027859650182560092,0.08271771303157216,0.07794644662515501,True,15
GGRM,19075.0,20119.703,0.05476820527522932,0.05724320117955428,1.0,0.023090309633027495,0.06759211173001307,0.0344833318082555,True,16
MARK,1085.0,1143.6832,0.05408587899625576,0.039587458597350134,1.0,0.02774315056163599,0.058372290826612924,0.030931822582745707,True,17
DAAZ,1550.0,1628.2533,0.05048598160282256,0.05105216733870965,1.0,0.049351058467741904,0.05048598160282256,0.001066121607181192,True,18
TFCO,720.0,755.6925,0.049572872585720476,0.06009996202256951,0.6,-0.0012537638346354241,0.06999994913736977,0.04848323688256892,True,19
TPIA,2110.0,2213.6853,0.0491399770438389,0.06497958938092419,0.8,0.0026746241854265704,0.07938198867002369,0.04711656504860037,True,20
DSNG,1360.0,1425.2717,0.04799388212316173,0.06332199994255516,0.8,-0.0025097297219669676,0.06352312873391548,0.05060385701797901,True,21
BREN,3250.0,3402.6458,0.046967923677884646,0.03838491586538462,1.0,0.037097385817307774,0.07751993689903847,0.01999402899501915,True,22
STAA,1095.0,1146.3427,0.046888299532676925,0.054675237228881235,0.6,-0.09575900979238014,0.09017272670519408,0.14477589938568142,True,23
PKPK,3920.0,4101.875,0.046396708585778046,-0.048815419722576525,0.4,-0.07699594925860971,0.08976602359693879,0.15711269395801192,False,24
KBLM,298.0,311.26422,0.04451085033032713,-0.002053484820679574,0.4,-0.007572209915058758,0.060391051017198015,0.08997680042416731,False,25
ADES,37250.0,38872.242,0.043550209731543624,0.06148353607382551,0.8,-0.0013825713087248087,0.07021350671140944,0.0443726063816609,True,26
BINA,4200.0,4381.7725,0.04327915736607142,0.020693475632440395,0.6,-0.0025852399553571103,0.05287227957589291,0.0758687097591879,True,27
AYAM,414.0,431.68784,0.04272429977638133,0.09583772668516,0.6,-0.06564522710975243,0.06331567441783667,0.09624370563375861,True,28
NANO,30.0,31.235905,0.04119678497314452,-0.0475191116333008,0.2,-0.052664031982421866,0.08403297424316403,0.1963802042642963,False,29
PADA,141.0,146.59366,0.03967124993074025,0.06855373517841312,0.6,-0.17657104925060946,0.14700384478197032,0.23282181016750653,True,30
ANDI,17.0,17.605026,0.03558973424574909,0.06487521003274366,0.6,-0.09011109296013327,0.10317972968606393,0.1274983483412033,True,31
KLAS,75.0,77.64522,0.03526959228515629,0.03272176106770841,0.8,-0.0189298909505208,0.07348840332031248,0.05430569393852094,True,32
IKAI,20.0,20.70033,0.035016536712646526,0.07577857971191415,0.6,-0.11694213867187497,0.08694177627563475,0.14695958780288979,True,33
ARKA,22.0,22.723766,0.03289846940474073,0.03289846940474073,1.0,0.03289846940474073,0.03289846940474073,0.0,True,34
MLBI,6525.0,6739.1055,0.032813143558429125,0.01207083632662842,0.8,-0.010008500957854416,0.03647843330938694,0.05029653370194819,True,35
SSTM,400.0,413.07486,0.03268711853027344,0.07847503662109379,0.6,-0.11553184509277341,0.16378976440429688,0.1464962448494933,True,36
SOUL,37.0,38.19979,0.032426865036423225,0.03238317128774293,1.0,0.03238317128774293,0.032844337257179126,9.770219224093252e-05,True,37
LSIP,1435.0,1481.4323,0.03235695230836237,0.05207340891768286,0.8,-0.039497972016550496,0.045691538953614955,0.06732613834416569,True,38
MPXL,154.0,158.79628,0.03114467472225042,0.055694084662895715,0.6,-0.025709870573762193,0.047023426402698944,0.05128706817591784,True,39
ISSP,430.0,442.61774,0.029343531408975276,0.03806883346202761,0.8,-0.012242786496184554,0.05012072186137355,0.03887401499178678,True,40
MBSS,2790.0,2871.2769,0.0291315594198029,0.043079094562052056,0.6,-0.02222484739023296,0.05888572118615594,0.047502514086386845,True,41
MSIE,103.0,105.99431,0.029071030107516705,0.0010521157273968296,0.6,-0.1176148794229748,0.23544772249981039,0.16438483828782183,True,42
VERN,200.0,205.79175,0.028958770751953144,0.03724937438964848,0.8,0.007861022949218689,0.053046264648437494,0.02279254081135832,True,43
DOSS,160.0,164.35161,0.027197551727294923,-0.029820156097412065,0.4,-0.06415386199951172,0.08431289672851561,0.14656468719714666,False,44
AMFG,3200.0,3285.9824,0.026869537353515625,0.033366394042968706,0.8,0.002357971191406261,0.0457572021484375,0.023986931863208452,True,45
BMRI,4160.0,4267.4775,0.025835899939903807,-0.0013629619891827316,0.4,-0.012706416203425474,0.038479262131910996,0.058698857339794144,False,46
VIVA,39.0,39.99049,0.02539717845427687,-0.01744314340444708,0.2,-0.07283739921374197,0.08897278614533252,0.1491320707852898,False,47
BKDP,169.0,173.28024,0.02532695341392377,0.025634133604151232,1.0,0.02447879949264977,0.025344776401858393,0.0007747614674205634,True,48
POLY,32.0,32.732384,0.022886991500854492,0.022886991500854492,1.0,0.022886991500854492,0.022886991500854492,0.0,True,49
SMAR,5700.0,5828.3423,0.022516173245614057,0.03517989309210523,0.8,-0.010307394462719308,0.041895216557017535,0.03427786154846009,True,50
IBOS,63.0,64.38747,0.022023252456907238,0.029616340758308546,0.6,-0.024368637327163944,0.04185783749534973,0.043417370329111714,True,51
URBN,208.0,212.49966,0.021632957458496072,0.0386334932767427,0.6,-0.013819019611065242,0.04335218576284552,0.031636696444930036,True,52
SIPD,680.0,693.9519,0.020517506318933832,0.01993641572840077,0.6,-0.021689058191636044,0.05044765696806066,0.04076725216890128,True,53
KOIN,78.0,79.58442,0.020313067313952347,0.020396795028295278,1.0,0.02014561188526649,0.020313067313952347,0.00018722086087147378,True,54
TAPG,1785.0,1820.3805,0.019820949864320724,0.005454252013305405,0.6,-0.04074159937412467,0.053392966561624663,0.06889415518982082,True,55
BLES,200.0,203.90146,0.01950729370117186,0.042942047119140625,0.8,-0.037309127807617234,0.06605181884765625,0.06039588932118693,True,56
CMNT,820.0,835.9708,0.019476586318597545,-0.0029831304782774737,0.4,-0.005524961890243918,0.033736899771341464,0.03747867778138177,False,57
EPAC,61.0,62.18498,0.01942588931224385,-0.032550686695536624,0.4,-0.04551125198114112,0.07476152513847975,0.10165648808954467,False,58
MMIX,730.0,743.9963,0.01917303215967465,0.004095208154965668,0.6,-0.03976134417808217,0.06150701653467463,0.0617980160165994,True,59
MGRO,685.0,697.30865,0.017968839102417932,0.025701503335994635,0.8,-0.0034362347456660114,0.026781994896213513,0.020550483364608213,True,60
BHAT,1770.0,1801.5176,0.0178065413135593,0.0178065413135593,1.0,0.0178065413135593,0.018320822850458995,0.0,True,61
COAL,21.0,21.352472,0.01678434099469861,-0.016834803989955405,0.2,-0.016834803989955405,0.025730278378441173,0.07517469353110749,False,62
BRPT,1790.0,1819.3259,0.016383199851606144,0.03849129277234642,0.6,-0.03610040590083803,0.052879931913407875,0.047044726574110574,True,63
INTA,61.0,61.98419,0.01613429335297134,0.01613429335297134,1.0,0.01613429335297134,0.016168500556320353,0.0,True,64
TAYS,50.0,50.805275,0.016105499267578205,0.016105499267578205,1.0,0.016105499267578205,0.016105499267578205,0.0,True,65
JMAS,228.0,231.56155,0.015620850680167164,0.015620850680167164,1.0,0.015620850680167164,0.01819797984340732,0.0,True,66
MEJA,94.0,95.45683,0.015498189723238066,-0.012905932487325411,0.4,-0.07662752841381312,0.06942742530335773,0.10953067743370762,False,67
ABDA,3420.0,3472.3286,0.015300764117324617,0.015300764117324617,1.0,0.015300764117324617,0.01601805212902052,0.0,True,68
