epoch,train_loss,val_loss,learning_rate
1,2.8243796831514403,2.643017360142299,4.996223518133876e-06
2,2.7393332703012816,2.616101162774222,4.905965840371098e-06
3,2.7151126556298797,2.602135385785784,4.699548864785432e-06
4,2.700904330889791,2.5922654356275285,4.386938340075565e-06
5,2.6909168319116024,2.5852510929107666,3.983227007141231e-06
6,2.681888118748781,2.5799214158739363,3.507905926150421e-06
7,2.678461947300675,2.576068026678903,2.9839234540921878e-06
8,2.670894476882016,2.5729224341256276,2.4365773050921795e-06
9,2.665759114083499,2.570105109895979,1.8922931844813166e-06
10,2.664652890035651,2.5683680943080356,1.3773489637926996e-06
11,2.6642441703781734,2.5668410573686873,9.166059931292548e-07
12,2.661657098618726,2.5657407556261336,5.323088027544876e-07
13,2.663369103064152,2.56536112512861,2.430111439479066e-07
14,2.6621686215589966,2.5651538031441823,6.268021954544095e-08
15,2.66056135277742,2.5651533603668213,2.2351641468798534e-11
