Code,prevValue,closeValue,changePrice,changePercentage,avgDailyMovePct,avgAbsDailyMovePct,jumlahHariData,Sektor,SubSektor
SEMA,90.0,95.0,5.0,5.56,0.334,1.463,18,Energi,Energi Alternatif
SFAN,1965.0,1955.0,-10.0,-0.51,-0.03,0.179,18,Keuangan,Perusahaan Holding & Investasi
SGER,400.0,432.0,32.0,8.0,0.524,2.837,18,Energi,"Minyak, Gas & Batu Bara"
SGRO,2547.88,3260.0,712.12,27.95,1.487,2.165,18,Barang Konsumen Primer,Makanan & Minuman
SHID,575.0,600.0,25.0,4.35,0.275,1.573,18,Barang Konsumen Non-Primer,Jasa Konsumen
SHIP,1830.0,1710.0,-120.0,-6.56,-0.325,2.397,18,Energi,"Minyak, Gas & Batu Bara"
SICO,99.0,112.0,13.0,13.13,0.754,1.808,18,Energi,"Minyak, Gas & Batu Bara"
SIDO,366.0,372.0,6.0,1.64,0.1,0.72,18,Kesehatan,Farmasi & Riset Kesehatan
SILO,2220.0,2020.0,-200.0,-9.01,-0.544,1.144,18,Kesehatan,Jasa & Peralatan Kesehatan
SIMP,509.71,585.0,75.29,14.77,0.829,1.468,18,Barang Konsumen Primer,Makanan & Minuman
SINI,6116.3,6775.0,658.7,10.77,0.827,5.297,18,Perindustrian,Barang Perindustrian
SIPD,675.0,670.0,-5.0,-0.74,-0.029,1.232,18,Barang Konsumen Primer,Makanan & Minuman
SKBM,432.0,540.0,108.0,25.0,1.848,7.236,18,Barang Konsumen Primer,Makanan & Minuman
SKLT,173.0,187.0,14.0,8.09,0.489,1.78,18,Barang Konsumen Primer,Makanan & Minuman
SKRN,344.0,422.0,78.0,22.67,1.255,2.584,18,Perindustrian,Barang Perindustrian
SLIS,56.0,61.0,5.0,8.93,0.538,1.877,18,Barang Konsumen Non-Primer,Perdagangan Ritel
SMAR,4650.0,5625.0,975.0,20.97,1.136,1.42,18,Barang Konsumen Primer,Makanan & Minuman
SMBR,145.0,160.0,15.0,10.34,0.614,1.929,18,Barang Baku,Barang Baku
SMCB,775.0,775.0,0.0,0.0,0.0,0.0,17,Barang Baku,Barang Baku
SMDM,565.0,555.0,-10.0,-1.77,-0.088,1.358,18,Properti & Real Estat,Properti & Real Estat
SMDR,258.64,294.0,35.36,13.67,0.778,1.853,18,Transportasi & Logistik,Logistik & Pengantaran
SMGA,63.0,70.0,7.0,11.11,0.668,2.671,18,Barang Baku,Barang Baku
SMGR,1400.0,1465.0,65.0,4.64,0.309,1.838,18,Barang Baku,Barang Baku
SMIL,286.0,364.0,78.0,27.27,1.47,2.076,18,Perindustrian,Barang Perindustrian
SMKL,128.0,139.0,11.0,8.59,0.507,1.715,18,Barang Baku,Barang Baku
SMKM,61.0,67.0,6.0,9.84,0.633,2.846,18,Infrastruktur,Konstruksi Bangunan
SMLE,96.0,140.0,44.0,45.83,2.393,4.34,18,Barang Baku,Barang Baku
SMMA,21875.0,20525.0,-1350.0,-6.17,-0.37,0.384,18,Keuangan,Perusahaan Holding & Investasi
SMMT,1760.0,1845.0,85.0,4.83,0.282,0.766,18,Energi,"Minyak, Gas & Batu Bara"
SMRA,270.0,332.0,62.0,22.96,1.244,1.859,18,Properti & Real Estat,Properti & Real Estat
SMSM,1590.0,1735.0,145.0,9.12,0.519,0.722,18,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif
SNLK,222.0,222.0,0.0,0.0,0.015,1.375,18,Barang Konsumen Non-Primer,Jasa Konsumen
SOCI,308.0,416.0,108.0,35.06,1.899,3.418,18,Energi,"Minyak, Gas & Batu Bara"
SOFA,197.0,216.0,19.0,9.64,0.603,2.754,18,Barang Konsumen Non-Primer,Barang Rumah Tangga
SOHO,1085.0,1200.0,115.0,10.6,0.645,2.006,18,Kesehatan,Farmasi & Riset Kesehatan
SOLA,99.0,105.0,6.0,6.06,0.37,1.485,18,Barang Baku,Barang Baku
SONA,2210.0,2350.0,140.0,6.33,0.373,0.874,18,Barang Konsumen Non-Primer,Perdagangan Ritel
SOSS,700.0,890.0,190.0,27.14,1.737,5.548,17,Perindustrian,Jasa Perindustrian
SOTS,590.0,610.0,20.0,3.39,0.231,1.909,18,Barang Konsumen Non-Primer,Jasa Konsumen
SOUL,37.0,37.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Primer,Makanan & Minuman
SPMA,156.92,171.0,14.08,8.97,0.515,1.187,18,Barang Baku,Barang Baku
SPRE,84.0,87.0,3.0,3.57,0.243,1.95,18,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
SPTO,570.0,600.0,30.0,5.26,0.304,0.604,18,Perindustrian,Barang Perindustrian
SQMI,40.0,66.0,26.0,65.0,3.303,7.42,18,Barang Baku,Barang Baku
SRAJ,11000.0,10800.0,-200.0,-1.82,-0.091,0.786,18,Kesehatan,Jasa & Peralatan Kesehatan
SRSN,66.0,66.0,0.0,0.0,0.012,1.06,18,Barang Baku,Barang Baku
SRTG,1560.0,1710.0,150.0,9.62,0.559,1.539,18,Keuangan,Perusahaan Holding & Investasi
SSIA,1490.0,1660.0,170.0,11.41,0.728,2.669,18,Infrastruktur,Konstruksi Bangunan
SSMS,740.0,915.0,175.0,23.65,1.281,1.781,18,Barang Konsumen Primer,Makanan & Minuman
SSTM,378.0,388.0,10.0,2.65,0.204,2.195,18,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
STAA,1020.0,1065.0,45.0,4.41,0.272,1.426,18,Barang Konsumen Primer,Makanan & Minuman
STAR,278.0,274.0,-4.0,-1.44,-0.038,2.176,18,Keuangan,Perusahaan Holding & Investasi
STRK,63.0,66.0,3.0,4.76,0.309,1.978,18,Barang Konsumen Primer,Makanan & Minuman
STTP,10000.0,10000.0,0.0,0.0,0.025,1.289,17,Barang Konsumen Primer,Makanan & Minuman
SULI,75.0,88.0,13.0,17.33,1.294,3.797,18,Barang Baku,Barang Baku
SUNI,610.0,635.0,25.0,4.1,0.268,1.474,18,Energi,"Minyak, Gas & Batu Bara"
SUPA,515.0,595.0,80.0,15.53,0.882,1.888,18,Keuangan,Bank
SUPR,43850.0,43850.0,0.0,0.0,0.0,0.0,17,Infrastruktur,Telekomunikasi
SURE,2880.0,2770.0,-110.0,-3.82,-0.215,1.16,18,Energi,"Minyak, Gas & Batu Bara"
SURI,58.0,68.0,10.0,17.24,0.969,1.856,18,Kesehatan,Jasa & Peralatan Kesehatan
SWAT,16.0,16.0,0.0,0.0,0.0,0.0,17,Barang Baku,Barang Baku
SWID,89.0,100.0,11.0,12.36,0.944,3.559,18,Barang Konsumen Non-Primer,Jasa Konsumen
TALF,562.0,585.0,23.0,4.09,0.258,1.599,18,Barang Baku,Barang Baku
TAMA,148.0,206.0,58.0,39.19,2.051,3.408,18,Infrastruktur,Konstruksi Bangunan
TAMU,17.0,22.0,5.0,29.41,1.634,4.018,18,Energi,"Minyak, Gas & Batu Bara"
TAPG,1480.0,1670.0,190.0,12.84,0.731,1.557,18,Barang Konsumen Primer,Makanan & Minuman
TARA,26.0,32.0,6.0,23.08,1.329,3.526,18,Properti & Real Estat,Properti & Real Estat
TAXI,12.0,13.0,1.0,8.33,0.641,4.261,18,Transportasi & Logistik,Transportasi
TAYS,50.0,50.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Primer,Makanan & Minuman
TBIG,1425.0,1375.0,-50.0,-3.51,-0.202,1.159,18,Infrastruktur,Telekomunikasi
TBLA,615.0,650.0,35.0,5.69,0.328,0.423,18,Barang Konsumen Primer,Makanan & Minuman
TBMS,1205.0,1205.0,0.0,0.0,0.012,1.11,18,Barang Baku,Barang Baku
TCID,2760.0,2770.0,10.0,0.36,0.03,0.906,18,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama
TCPI,6544.0,5525.0,-1019.0,-15.57,-0.94,2.875,18,Energi,"Minyak, Gas & Batu Bara"
TEBE,960.0,1050.0,90.0,9.38,0.56,1.548,18,Energi,"Minyak, Gas & Batu Bara"
TELE,9.0,9.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Non-Primer,Perdagangan Ritel
TFAS,195.0,187.0,-8.0,-4.1,-0.231,1.183,18,Teknologi,Perangkat Lunak & Jasa TI
TFCO,585.0,710.0,125.0,21.37,1.363,4.048,17,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
TGKA,4700.0,4870.0,170.0,3.62,0.223,1.21,18,Barang Konsumen Primer,Makanan & Minuman
TGRA,27.0,27.0,0.0,0.0,0.0,0.0,17,Infrastruktur,Utilitas
TGUK,137.0,137.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Primer,Makanan & Minuman
TIFA,220.0,268.0,48.0,21.82,1.373,4.042,18,Keuangan,Jasa Pembiayaan
TINS,3320.0,3460.0,140.0,4.22,0.271,1.718,18,Barang Baku,Barang Baku
TIRA,600.0,505.0,-95.0,-15.83,-0.992,1.691,18,Perindustrian,Jasa Perindustrian
TIRT,590.0,590.0,0.0,0.0,0.0,0.0,17,Barang Baku,Barang Baku
TKIM,5345.0,5925.0,580.0,10.85,0.656,2.155,18,Barang Baku,Barang Baku
TLDN,496.0,525.0,29.0,5.85,0.348,1.362,18,Barang Konsumen Primer,Makanan & Minuman
TLKM,2440.0,2600.0,160.0,6.56,0.392,1.557,18,Infrastruktur,Telekomunikasi
TMAS,111.0,120.0,9.0,8.11,0.47,1.164,18,Transportasi & Logistik,Logistik & Pengantaran
TMPO,100.0,104.0,4.0,4.0,0.237,0.915,18,Barang Konsumen Non-Primer,Media & Hiburan
TNCA,133.0,148.0,15.0,11.28,0.663,2.098,18,Transportasi & Logistik,Logistik & Pengantaran
TOBA,358.0,476.0,118.0,32.96,1.735,2.577,18,Energi,"Minyak, Gas & Batu Bara"
TOOL,62.0,65.0,3.0,4.84,0.322,2.421,18,Barang Konsumen Non-Primer,Perdagangan Ritel
TOPS,1.0,1.0,0.0,0.0,0.0,0.0,17,Infrastruktur,Konstruksi Bangunan
TOSK,58.0,67.0,9.0,15.52,0.867,1.406,18,Teknologi,Perangkat Lunak & Jasa TI
TOTL,1035.0,1055.0,20.0,1.93,0.115,0.559,18,Infrastruktur,Konstruksi Bangunan
TOTO,232.0,244.0,12.0,5.17,0.3,0.591,18,Perindustrian,Barang Perindustrian
TOWR,356.0,402.0,46.0,12.92,0.735,1.323,18,Infrastruktur,Telekomunikasi
TOYS,8.0,8.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Non-Primer,Barang Rekreasi
TPIA,1680.0,2040.0,360.0,21.43,1.23,3.347,18,Barang Baku,Barang Baku
TPMA,416.0,450.0,34.0,8.17,0.483,1.316,18,Energi,"Minyak, Gas & Batu Bara"
TRGU,170.0,163.0,-7.0,-4.12,-0.242,0.749,18,Barang Konsumen Primer,Makanan & Minuman
TRIM,565.0,570.0,5.0,0.88,0.061,0.984,18,Keuangan,Jasa Investasi
TRIN,338.0,342.0,4.0,1.18,0.137,2.615,18,Properti & Real Estat,Properti & Real Estat
TRIS,154.0,167.0,13.0,8.44,0.489,1.202,18,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
TRJA,104.0,108.0,4.0,3.85,0.245,1.693,18,Transportasi & Logistik,Transportasi
TRON,95.0,109.0,14.0,14.74,1.08,4.229,18,Teknologi,Perangkat Lunak & Jasa TI
TRST,480.94,456.0,-24.94,-5.19,-0.305,0.919,18,Barang Baku,Barang Baku
TRUE,50.0,50.0,0.0,0.0,0.0,0.0,17,Properti & Real Estat,Properti & Real Estat
TRUK,424.0,420.0,-4.0,-0.94,-0.033,1.515,18,Transportasi & Logistik,Logistik & Pengantaran
TRUS,392.76,402.0,9.24,2.35,0.39,4.32,18,Keuangan,Jasa Pembiayaan
TSPC,2480.0,2660.0,180.0,7.26,0.423,1.208,18,Kesehatan,Farmasi & Riset Kesehatan
TUGU,1165.0,1220.0,55.0,4.72,0.284,0.994,18,Keuangan,Asuransi
TYRE,104.0,114.0,10.0,9.62,0.595,2.428,18,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif
UANG,1990.0,2300.0,310.0,15.58,1.074,4.06,18,Properti & Real Estat,Properti & Real Estat
UCID,366.0,384.0,18.0,4.92,0.289,0.84,18,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama
UDNG,1170.0,1220.0,50.0,4.27,0.354,3.16,18,Barang Konsumen Primer,Makanan & Minuman
UFOE,134.0,133.0,-1.0,-0.75,-0.016,1.755,18,Barang Konsumen Non-Primer,Perdagangan Ritel
ULTJ,1305.0,1400.0,95.0,7.28,0.422,1.086,18,Barang Konsumen Primer,Makanan & Minuman
UNIC,12600.0,12725.0,125.0,0.99,0.066,0.902,18,Barang Baku,Barang Baku
UNIQ,101.0,110.0,9.0,8.91,0.52,1.597,18,Energi,"Minyak, Gas & Batu Bara"
UNSP,206.0,206.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Primer,Makanan & Minuman
UNTD,71.0,79.0,8.0,11.27,0.651,1.436,18,Barang Konsumen Non-Primer,Barang Rekreasi
UNTR,22025.0,25475.0,3450.0,15.66,0.893,2.005,18,Perindustrian,Barang Perindustrian
UNVR,1775.0,1675.0,-100.0,-5.63,-0.332,1.154,18,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama
URBN,210.0,222.0,12.0,5.71,0.385,2.501,18,Properti & Real Estat,Properti & Real Estat
UVCR,123.0,142.0,19.0,15.45,0.903,2.526,18,Teknologi,Perangkat Lunak & Jasa TI
VAST,114.0,114.0,0.0,0.0,0.013,1.22,18,Properti & Real Estat,Properti & Real Estat
VERN,133.0,197.0,64.0,48.12,2.497,4.096,18,Barang Konsumen Non-Primer,Media & Hiburan
VICI,585.0,590.0,5.0,0.85,0.092,2.049,18,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama
VICO,131.0,140.0,9.0,6.87,0.401,1.088,18,Keuangan,Perusahaan Holding & Investasi
VINS,136.0,138.0,2.0,1.47,0.109,1.64,18,Keuangan,Asuransi
VISI,855.0,870.0,15.0,1.75,0.189,3.031,18,Perindustrian,Jasa Perindustrian
VIVA,31.0,38.0,7.0,22.58,1.321,3.893,18,Barang Konsumen Non-Primer,Media & Hiburan
VKTR,460.0,770.0,310.0,67.39,3.392,6.516,18,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif
VOKS,196.0,200.0,4.0,2.04,0.124,0.776,18,Perindustrian,Barang Perindustrian
VRNA,74.0,76.0,2.0,2.7,0.183,1.755,18,Keuangan,Jasa Pembiayaan
VTNY,54.0,65.0,11.0,20.37,1.186,3.567,18,Keuangan,Jasa Pembiayaan
WAPO,103.0,122.0,19.0,18.45,1.007,1.206,18,Barang Konsumen Primer,Makanan & Minuman
WBSA,635.0,595.0,-40.0,-6.3,-0.34,2.405,18,Transportasi & Logistik,Logistik & Pengantaran
WEGE,50.0,50.0,0.0,0.0,0.0,0.0,18,Infrastruktur,Konstruksi Bangunan
WEHA,96.0,104.0,8.0,8.33,0.481,1.045,18,Transportasi & Logistik,Transportasi
WGSH,120.0,139.0,19.0,15.83,1.001,4.39,18,Teknologi,Perangkat Lunak & Jasa TI
WICO,123.0,123.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Primer,Perdagangan Ritel Barang Primer
WIDI,25.0,27.0,2.0,8.0,0.55,3.53,18,Perindustrian,Barang Perindustrian
WIFI,1598.05,1960.0,361.95,22.65,1.288,2.769,18,Teknologi,Perangkat Lunak & Jasa TI
WIIM,1540.0,1595.0,55.0,3.57,0.219,1.227,18,Barang Konsumen Primer,Rokok
WIKA,204.0,204.0,0.0,0.0,0.0,0.0,17,Infrastruktur,Konstruksi Bangunan
WINE,151.0,152.0,1.0,0.66,0.055,1.382,18,Barang Konsumen Primer,Makanan & Minuman
WINR,20.0,20.0,0.0,0.0,0.197,4.883,18,Properti & Real Estat,Properti & Real Estat
WINS,525.0,496.0,-29.0,-5.52,-0.323,1.1,18,Energi,"Minyak, Gas & Batu Bara"
WIRG,51.0,57.0,6.0,11.76,0.691,1.737,18,Teknologi,Perangkat Lunak & Jasa TI
WMPP,16.0,20.0,4.0,25.0,1.499,5.321,18,Barang Konsumen Primer,Makanan & Minuman
WMUU,50.0,51.0,1.0,2.0,0.258,2.094,18,Barang Konsumen Primer,Makanan & Minuman
WOMF,242.0,254.0,12.0,4.96,0.3,1.246,18,Keuangan,Jasa Pembiayaan
WOOD,204.0,214.0,10.0,4.9,0.378,3.709,18,Barang Konsumen Non-Primer,Barang Rumah Tangga
WOWS,55.0,60.0,5.0,9.09,0.533,1.521,18,Energi,"Minyak, Gas & Batu Bara"
WSBP,14.0,14.0,0.0,0.0,0.0,0.0,17,Barang Baku,Barang Baku
WTON,69.0,75.0,6.0,8.7,0.5,0.984,18,Barang Baku,Barang Baku
YELO,70.0,78.0,8.0,11.43,0.691,2.567,18,Barang Konsumen Non-Primer,Perdagangan Ritel
YOII,86.0,85.0,-1.0,-1.16,-0.03,1.437,18,Keuangan,Asuransi
YPAS,575.0,585.0,10.0,1.74,0.153,2.306,18,Barang Baku,Barang Baku
YULE,3360.0,3350.0,-10.0,-0.3,-0.003,0.999,17,Keuangan,Jasa Investasi
YUPI,1215.0,1310.0,95.0,7.82,0.629,2.892,18,Barang Konsumen Primer,Makanan & Minuman
ZATA,50.0,71.0,21.0,42.0,2.42,3.336,18,Barang Konsumen Non-Primer,Perdagangan Ritel
ZBRA,50.0,50.0,0.0,0.0,0.0,0.0,17,Perindustrian,Perusahaan Holding Multi Sektor
ZINC,30.0,30.0,0.0,0.0,0.0,0.0,17,Barang Baku,Barang Baku
ZONE,575.0,494.0,-81.0,-14.09,-0.858,1.768,18,Barang Konsumen Non-Primer,Perdagangan Ritel
ZYRX,128.0,130.0,2.0,1.56,0.097,0.82,18,Teknologi,Perangkat Keras & Peralatan Teknologi
