Code,prevValue,closeValue,changePrice,changePercentage,avgDailyMovePct,avgAbsDailyMovePct,jumlahHariData,Sektor,SubSektor
MTMH,915.0,985.0,70.0,7.65,0.447,1.252,18,Kesehatan,Jasa & Peralatan Kesehatan
MTPS,81.0,81.0,0.0,0.0,0.0,0.0,17,Infrastruktur,Konstruksi Bangunan
MTSM,500.0,500.0,0.0,0.0,0.0,0.0,17,Properti & Real Estat,Properti & Real Estat
MTWI,268.0,260.0,-8.0,-2.99,-0.142,1.655,18,Keuangan,Asuransi
MUTU,112.0,108.0,-4.0,-3.57,-0.206,0.954,18,Perindustrian,Jasa Perindustrian
MYOH,1030.0,1090.0,60.0,5.83,0.348,1.299,18,Energi,"Minyak, Gas & Batu Bara"
MYOR,1810.0,1725.0,-85.0,-4.7,-0.267,1.483,18,Barang Konsumen Primer,Makanan & Minuman
MYTX,41.0,41.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
NAIK,80.0,88.0,8.0,10.0,0.582,1.515,18,Perindustrian,Jasa Perindustrian
NANO,21.0,30.0,9.0,42.86,2.328,5.985,18,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama
NASA,28.0,29.0,1.0,3.57,0.285,2.924,18,Properti & Real Estat,Properti & Real Estat
NASI,103.0,124.0,21.0,20.39,1.121,1.783,18,Barang Konsumen Primer,Makanan & Minuman
NATO,550.0,675.0,125.0,22.73,1.225,1.322,18,Barang Konsumen Non-Primer,Jasa Konsumen
NAYZ,54.0,61.0,7.0,12.96,0.789,3.021,18,Barang Konsumen Primer,Makanan & Minuman
NCKL,777.62,860.0,82.38,10.59,0.619,1.985,18,Barang Baku,Barang Baku
NELY,195.0,204.0,9.0,4.62,0.275,1.127,18,Transportasi & Logistik,Logistik & Pengantaran
NEST,570.0,595.0,25.0,4.39,0.295,2.334,18,Barang Konsumen Primer,Makanan & Minuman
NETV,50.0,51.0,1.0,2.0,0.224,2.595,18,Barang Konsumen Non-Primer,Media & Hiburan
NFCX,1610.0,1575.0,-35.0,-2.17,-0.119,0.669,18,Teknologi,Perangkat Lunak & Jasa TI
NICE,248.0,248.0,0.0,0.0,0.041,1.723,18,Barang Baku,Barang Baku
NICK,965.0,1075.0,110.0,11.4,0.657,1.224,18,Keuangan,Perusahaan Holding & Investasi
NICL,486.0,494.0,8.0,1.65,0.124,1.733,18,Barang Baku,Barang Baku
NIKL,171.0,186.0,15.0,8.77,0.516,1.618,18,Barang Baku,Barang Baku
NINE,72.0,76.0,4.0,5.56,0.363,2.15,18,Teknologi,Perangkat Keras & Peralatan Teknologi
NIRO,128.0,140.0,12.0,9.38,0.617,3.277,18,Properti & Real Estat,Properti & Real Estat
NISP,1155.0,1240.0,85.0,7.36,0.423,0.711,18,Keuangan,Bank
NOBU,416.0,446.0,30.0,7.21,0.42,1.066,18,Keuangan,Bank
NPGF,58.0,57.0,-1.0,-1.72,-0.083,1.34,18,Barang Baku,Barang Baku
NRCA,410.0,496.0,86.0,20.98,1.196,2.91,18,Infrastruktur,Konstruksi Bangunan
NSSS,585.0,815.0,230.0,39.32,2.054,2.963,18,Barang Konsumen Primer,Makanan & Minuman
NTBK,50.0,91.0,41.0,82.0,4.341,8.75,18,Perindustrian,Barang Perindustrian
NZIA,136.0,142.0,6.0,4.41,0.275,1.717,18,Properti & Real Estat,Properti & Real Estat
OASA,250.0,336.0,86.0,34.4,1.941,4.238,18,Infrastruktur,Telekomunikasi
OBAT,230.0,250.0,20.0,8.7,0.497,0.879,18,Kesehatan,Farmasi & Riset Kesehatan
OBMD,158.0,204.0,46.0,29.11,1.546,2.463,18,Barang Baku,Barang Baku
OILS,179.0,252.0,73.0,40.78,2.195,4.119,18,Barang Konsumen Primer,Makanan & Minuman
OKAS,97.0,101.0,4.0,4.12,0.254,1.285,18,Barang Baku,Barang Baku
OLIV,50.0,51.0,1.0,2.0,0.134,1.288,18,Barang Konsumen Non-Primer,Barang Rumah Tangga
OMED,204.0,212.0,8.0,3.92,0.295,2.188,18,Kesehatan,Jasa & Peralatan Kesehatan
OMRE,1005.0,1070.0,65.0,6.47,0.571,4.073,18,Properti & Real Estat,Properti & Real Estat
OPMS,90.0,108.0,18.0,20.0,1.134,2.048,18,Barang Baku,Barang Baku
PACK,226.0,224.0,-2.0,-0.88,0.02,2.729,18,Barang Baku,Barang Baku
PADA,101.0,116.0,15.0,14.85,0.864,2.657,18,Perindustrian,Jasa Perindustrian
PADI,71.46,72.0,0.54,0.76,0.229,5.049,18,Keuangan,Jasa Investasi
PALM,296.0,306.0,10.0,3.38,0.206,1.207,18,Keuangan,Perusahaan Holding & Investasi
PAMG,51.0,55.0,4.0,7.84,0.63,3.036,18,Properti & Real Estat,Properti & Real Estat
PANI,5800.0,6125.0,325.0,5.6,0.347,1.813,18,Properti & Real Estat,Properti & Real Estat
PANR,396.0,416.0,20.0,5.05,0.302,1.224,18,Barang Konsumen Non-Primer,Jasa Konsumen
PANS,1465.0,1570.0,105.0,7.17,0.414,0.719,18,Keuangan,Jasa Investasi
PART,102.96,107.0,4.04,3.93,0.269,1.999,18,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif
PBID,468.0,492.0,24.0,5.13,0.295,0.393,18,Barang Baku,Barang Baku
PBRX,26.0,26.0,0.0,0.0,0.065,2.633,18,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
PBSA,714.67,790.0,75.33,10.54,0.633,2.356,18,Infrastruktur,Konstruksi Bangunan
PCAR,37.0,38.0,1.0,2.7,0.175,1.374,18,Barang Konsumen Primer,Perdagangan Ritel Barang Primer
PDES,452.0,390.0,-62.0,-13.72,-0.835,1.71,18,Barang Konsumen Non-Primer,Jasa Konsumen
PDPP,259.79,270.0,10.21,3.93,0.234,1.03,18,Barang Baku,Barang Baku
PEGE,128.69,89.0,-39.69,-30.84,-2.078,3.055,18,Keuangan,Perusahaan Holding & Investasi
PEHA,230.0,252.0,22.0,9.57,0.563,1.872,18,Kesehatan,Farmasi & Riset Kesehatan
PEVE,314.0,318.0,4.0,1.27,0.097,1.496,18,Kesehatan,Farmasi & Riset Kesehatan
PGAS,1365.0,1525.0,160.0,11.72,0.672,1.414,18,Energi,"Minyak, Gas & Batu Bara"
PGEO,875.0,1005.0,130.0,14.86,0.842,1.64,18,Infrastruktur,Utilitas
PGJO,720.0,670.0,-50.0,-6.94,-0.384,2.269,18,Teknologi,Perangkat Lunak & Jasa TI
PGLI,178.0,191.0,13.0,7.3,0.473,2.633,18,Barang Konsumen Non-Primer,Jasa Konsumen
PGUN,7000.0,8000.0,1000.0,14.29,0.828,2.027,18,Barang Konsumen Primer,Makanan & Minuman
PICO,118.0,126.0,8.0,6.78,0.412,1.883,18,Barang Baku,Barang Baku
PIPA,104.0,118.0,14.0,13.46,0.837,3.201,18,Perindustrian,Barang Perindustrian
PJAA,448.0,454.0,6.0,1.34,0.086,1.01,18,Barang Konsumen Non-Primer,Jasa Konsumen
PJHB,155.0,174.0,19.0,12.26,0.719,2.205,18,Transportasi & Logistik,Logistik & Pengantaran
PKPK,3200.0,3860.0,660.0,20.62,1.147,2.099,18,Energi,"Minyak, Gas & Batu Bara"
PLAN,34.0,38.0,4.0,11.76,0.721,2.589,18,Barang Konsumen Non-Primer,Jasa Konsumen
PLIN,2510.0,2510.0,0.0,0.0,0.0,0.0,17,Properti & Real Estat,Properti & Real Estat
PMJS,98.57,110.0,11.43,11.6,0.656,0.988,18,Barang Konsumen Non-Primer,Perdagangan Ritel
PMMP,50.0,50.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Primer,Makanan & Minuman
PMUI,79.0,84.0,5.0,6.33,0.378,1.219,18,Barang Konsumen Non-Primer,Perdagangan Ritel
PNBN,875.0,890.0,15.0,1.71,0.113,1.432,18,Keuangan,Bank
PNBS,50.0,50.0,0.0,0.0,0.002,0.233,18,Keuangan,Bank
PNGO,3430.0,3530.0,100.0,2.92,0.17,0.372,18,Barang Konsumen Primer,Makanan & Minuman
PNIN,705.0,730.0,25.0,3.55,0.209,0.687,18,Keuangan,Asuransi
PNLF,212.0,224.0,12.0,5.66,0.333,1.076,18,Keuangan,Asuransi
PNSE,505.0,492.0,-13.0,-2.57,-0.143,1.084,18,Barang Konsumen Non-Primer,Jasa Konsumen
POLA,53.0,57.0,4.0,7.55,0.475,2.234,18,Keuangan,Jasa Pembiayaan
POLI,670.0,700.0,30.0,4.48,0.311,2.305,18,Properti & Real Estat,Properti & Real Estat
POLL,112.0,112.0,0.0,0.0,0.0,0.0,17,Properti & Real Estat,Properti & Real Estat
POLU,12000.0,12500.0,500.0,4.17,0.299,2.261,18,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
POLY,32.0,32.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
PORT,810.0,880.0,70.0,8.64,0.53,1.994,18,Infrastruktur,Infrastruktur Transportasi
POWR,700.0,735.0,35.0,5.0,0.289,0.451,18,Infrastruktur,Utilitas
PPGL,172.0,214.0,42.0,24.42,1.407,3.824,18,Transportasi & Logistik,Logistik & Pengantaran
PPRE,97.0,104.0,7.0,7.22,0.512,2.927,18,Infrastruktur,Konstruksi Bangunan
PPRI,133.0,150.0,17.0,12.78,0.736,1.704,18,Barang Baku,Barang Baku
PPRO,16.0,17.0,1.0,6.25,0.443,3.022,18,Properti & Real Estat,Properti & Real Estat
PRAY,680.0,730.0,50.0,7.35,0.534,3.951,18,Kesehatan,Jasa & Peralatan Kesehatan
PRDA,2470.0,2360.0,-110.0,-4.45,-0.232,1.568,18,Kesehatan,Jasa & Peralatan Kesehatan
PRIM,90.0,102.0,12.0,13.33,0.762,1.864,18,Kesehatan,Jasa & Peralatan Kesehatan
PSAB,386.0,424.0,38.0,9.84,0.564,1.066,18,Barang Baku,Barang Baku
PSAT,775.0,835.0,60.0,7.74,0.456,1.396,18,Energi,"Minyak, Gas & Batu Bara"
PSDN,103.0,117.0,14.0,13.59,0.852,3.217,18,Barang Konsumen Primer,Makanan & Minuman
PSGO,199.0,198.0,-1.0,-0.5,-0.028,0.386,18,Barang Konsumen Primer,Makanan & Minuman
PSKT,175.0,210.0,35.0,20.0,1.119,1.99,18,Barang Konsumen Non-Primer,Jasa Konsumen
PSSI,276.0,320.0,44.0,15.94,0.91,2.364,18,Energi,"Minyak, Gas & Batu Bara"
PTBA,2290.0,2390.0,100.0,4.37,0.257,0.845,18,Energi,"Minyak, Gas & Batu Bara"
PTDU,70.0,70.0,0.0,0.0,0.0,0.0,17,Infrastruktur,Konstruksi Bangunan
PTIS,274.0,268.0,-6.0,-2.19,-0.125,0.83,18,Energi,"Minyak, Gas & Batu Bara"
PTMP,51.0,61.0,10.0,19.61,1.153,3.185,18,Perindustrian,Barang Perindustrian
PTMR,374.0,374.0,0.0,0.0,0.0,0.0,17,Barang Baku,Barang Baku
PTPP,173.0,210.0,37.0,21.39,1.207,2.683,18,Infrastruktur,Konstruksi Bangunan
PTPS,120.0,141.0,21.0,17.5,0.983,2.041,18,Barang Konsumen Primer,Makanan & Minuman
PTPW,1283.78,1125.0,-158.78,-12.37,-0.759,1.332,18,Infrastruktur,Konstruksi Bangunan
PTRO,3790.0,4700.0,910.0,24.01,1.318,2.469,18,Energi,"Minyak, Gas & Batu Bara"
PTSN,242.0,250.0,8.0,3.31,0.203,1.164,18,Teknologi,Perangkat Keras & Peralatan Teknologi
PTSP,855.0,905.0,50.0,5.85,0.349,1.525,18,Barang Konsumen Non-Primer,Jasa Konsumen
PUDP,282.0,300.0,18.0,6.38,0.391,1.732,18,Properti & Real Estat,Properti & Real Estat
PURA,29.0,32.0,3.0,10.34,0.613,1.728,18,Transportasi & Logistik,Logistik & Pengantaran
PURI,134.0,137.0,3.0,2.24,0.162,1.778,18,Properti & Real Estat,Properti & Real Estat
PWON,240.0,268.0,28.0,11.67,0.674,1.737,18,Properti & Real Estat,Properti & Real Estat
PYFA,186.0,210.0,24.0,12.9,0.755,2.424,18,Kesehatan,Farmasi & Riset Kesehatan
PZZA,180.0,182.0,2.0,1.11,0.07,0.637,18,Barang Konsumen Non-Primer,Jasa Konsumen
RAAM,208.0,206.0,-2.0,-0.96,-0.013,2.005,18,Barang Konsumen Non-Primer,Media & Hiburan
RAFI,36.0,36.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Non-Primer,Jasa Konsumen
RAJA,786.0,885.0,99.0,12.6,0.779,3.119,18,Energi,"Minyak, Gas & Batu Bara"
RALS,368.0,382.0,14.0,3.8,0.223,0.533,18,Barang Konsumen Non-Primer,Perdagangan Ritel
RANC,525.0,510.0,-15.0,-2.86,-0.093,2.665,18,Barang Konsumen Primer,Perdagangan Ritel Barang Primer
RATU,5550.0,4970.0,-580.0,-10.45,-0.607,2.203,18,Energi,"Minyak, Gas & Batu Bara"
RBMS,54.0,66.0,12.0,22.22,1.47,5.711,18,Properti & Real Estat,Properti & Real Estat
RCCC,78.0,100.0,22.0,28.21,1.57,3.299,18,Transportasi & Logistik,Logistik & Pengantaran
RDTX,13612.0,13800.0,188.0,1.38,0.097,1.103,17,Properti & Real Estat,Properti & Real Estat
REAL,49.99,51.0,1.01,2.01,0.134,0.808,18,Properti & Real Estat,Properti & Real Estat
RELF,34.0,36.0,2.0,5.88,0.374,1.347,18,Properti & Real Estat,Properti & Real Estat
RELI,492.0,486.0,-6.0,-1.22,-0.066,0.552,18,Keuangan,Jasa Investasi
RGAS,154.0,222.0,68.0,44.16,2.274,3.161,18,Energi,"Minyak, Gas & Batu Bara"
RICY,75.0,77.0,2.0,2.67,0.168,1.367,18,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
RIGS,690.0,685.0,-5.0,-0.72,-0.035,0.904,18,Energi,"Minyak, Gas & Batu Bara"
RISE,835.0,1015.0,180.0,21.56,1.291,3.396,18,Properti & Real Estat,Properti & Real Estat
RLCO,3100.0,4380.0,1280.0,41.29,2.158,3.275,18,Barang Konsumen Primer,Makanan & Minuman
RMKE,410.0,408.0,-2.0,-0.49,0.069,3.19,18,Energi,"Minyak, Gas & Batu Bara"
RMKO,250.0,318.0,68.0,27.2,1.787,5.271,18,Energi,"Minyak, Gas & Batu Bara"
ROCK,1620.0,1805.0,185.0,11.42,0.668,1.987,18,Properti & Real Estat,Properti & Real Estat
RODA,50.0,61.0,11.0,22.0,1.475,3.978,18,Properti & Real Estat,Properti & Real Estat
RONY,930.0,1425.0,495.0,53.23,2.902,5.722,18,Infrastruktur,Konstruksi Bangunan
ROTI,610.0,605.0,-5.0,-0.82,-0.043,0.63,18,Barang Konsumen Primer,Makanan & Minuman
RSCH,282.0,268.0,-14.0,-4.96,-0.245,2.847,18,Kesehatan,Jasa & Peralatan Kesehatan
RSGK,1150.0,935.0,-215.0,-18.7,-1.132,3.26,18,Kesehatan,Jasa & Peralatan Kesehatan
