number,value,datetime_start,datetime_complete,duration,params_drawdown_60,params_hit5_rate_20,params_hit5_rate_60,params_mom_20,params_mom_5,params_pred_close_gain_mean,params_pred_close_up_probability,params_pred_high_gain_dispersion,params_pred_high_gain_mean,params_pred_high_gain_median,params_pred_hit5_probability,params_pred_low_gain_mean,params_pred_range_mean,params_range_20,params_turnover_accel,params_volatility_20,params_volume_ratio_5_60,state
0,0.3493827160493828,2026-07-31 17:41:47.126425,2026-07-31 17:41:47.171101,0 days 00:00:00.044676,-0.39151551408092455,0.2022300234864176,0.416145155592091,0.9398197043239886,-0.9588310114083951,0.1973169683940732,-0.687962719115127,-0.8838327756636011,-0.250919762305275,0.9014286128198323,0.4639878836228102,0.7323522915498704,-0.6880109593275947,-0.6331909802931324,-0.6363500655857988,0.6648852816008435,-0.5753217786434477,COMPLETE
1,0.18148148148148147,2026-07-31 17:41:47.171657,2026-07-31 17:41:47.215130,0 days 00:00:00.043473,0.8977710745066665,0.5703519227860272,-0.6006524356832805,0.18482913772408494,0.02846887682722321,0.22370578944475894,-0.7210122786959163,-0.2672763134126166,0.04951286326447568,-0.13610996271576847,-0.4175417196039162,-0.08786003156592814,-0.4157107029295637,-0.869896814029441,-0.6589517526254169,-0.9070991745600046,0.21508970380287673,COMPLETE
2,0.20864197530864192,2026-07-31 17:41:47.215781,2026-07-31 17:41:47.259570,0 days 00:00:00.043789,0.9391692555291171,-0.9312229577695632,0.8186408041575641,0.32504456870796394,-0.48244003679996617,-0.8046557719872323,0.3684660530243138,-0.7559235303104423,0.9312640661491187,0.6167946962329223,-0.39077246165325863,-0.00964617977745963,-0.1196950125207974,-0.6302910889489459,0.0934205586865593,-0.3765778478211781,0.040136042355621626,COMPLETE
3,0.2518518518518519,2026-07-31 17:41:47.260140,2026-07-31 17:41:47.304176,0 days 00:00:00.044036,0.6043939615080793,-0.3493393384734713,-0.22264542062103598,0.6574750183038587,-0.4573019364522082,0.19579995762217028,0.8437484700462337,-0.6080342751617096,0.5502656467222291,0.8789978831283782,0.7896547008552977,-0.9095454221789239,-0.823014995896161,-0.7181515500504747,0.08539216631649693,-0.28649334661282144,-0.4381309806252385,COMPLETE
4,0.4012345679012346,2026-07-31 17:41:47.304663,2026-07-31 17:41:47.351897,0 days 00:00:00.047234,-0.3780353565686756,0.5425406933718915,-0.8519106965318193,-0.7682618809497406,-0.2830685429114548,-0.6025686369316552,-0.9889557657527952,0.41371468769523423,-0.8508987126404584,0.9737738732010346,0.5444895385933148,0.4580143360819746,0.6309228569096683,-0.8728832994279527,-0.3382039502947016,0.726206851751187,0.24659625365511584,COMPLETE
5,0.3123456790123456,2026-07-31 17:41:47.352467,2026-07-31 17:41:47.397705,0 days 00:00:00.045238,0.2728208225275608,0.12255439513899247,0.541934359909122,0.045465658763988115,-0.012408807271218514,0.7744254851526531,-0.05557014967610141,0.42648957444599,-0.3496333559465059,0.45921235667612814,0.27511494271042625,0.5215700972337949,-0.7608115081233966,-0.9371416286265315,-0.7842171460133911,-0.14491796328290074,-0.9491617465118096,COMPLETE
6,0.2740740740740741,2026-07-31 17:41:47.398269,2026-07-31 17:41:47.441239,0 days 00:00:00.042970,0.7851179969799555,-0.42049709417246395,-0.6775574254919912,0.6162407591288339,0.8593953046851461,-0.5014155417022501,-0.17923415392874054,-0.5424036690167551,-0.37128803784734665,0.01714138232940554,0.815132947852186,-0.846040180342414,0.5111022770860973,-0.6268598822279283,0.6073441537982289,0.26680751302084693,0.7429211803754354,COMPLETE
7,0.38641975308641974,2026-07-31 17:41:47.441733,2026-07-31 17:41:47.485596,0 days 00:00:00.043863,-0.35359413595848954,0.7214611665126869,-0.9860957389376186,-0.16517799370244202,0.021494605155131463,-0.36399305005627225,-0.7798961509446465,-0.14578442274748737,0.07868448383130144,0.6148803103281251,0.7921825998469865,0.6360295318449862,-0.5441296749161166,0.8858194078250383,-0.3247696571927441,-0.5557843790585395,-0.7602692653326344,COMPLETE
8,0.2061728395061728,2026-07-31 17:41:47.486056,2026-07-31 17:41:47.530850,0 days 00:00:00.044794,-0.7102102558175538,-0.4303190112450648,-0.9262261052909344,0.005358046457722976,0.2191286679597937,0.9435641654419213,0.9248945898842225,-0.005502988215229099,0.037581243486732197,0.4060379177903557,-0.27274079524141204,-0.3982433803664607,-0.4964354083492717,-0.5208762186660552,0.8165317719333074,-0.8970424975000213,-0.44270707152677713,COMPLETE
9,0.3938271604938271,2026-07-31 17:41:47.531510,2026-07-31 17:41:47.576894,0 days 00:00:00.045384,0.18178588637648363,0.26461166118715895,0.2670594215217894,-0.8194204598911834,0.07154936814951696,0.3442710948117571,0.5232392306574352,0.45643269722371915,-0.02109447944487397,0.9713009082212014,-0.5158894569769992,-0.26443373456149355,-0.5247249120152007,-0.9184497168904722,-0.6269629792002915,0.6706049911784759,-0.35843987005652833,COMPLETE
10,0.3506172839506173,2026-07-31 17:41:47.577430,2026-07-31 17:41:47.675750,0 days 00:00:00.098320,-0.9632843006207183,0.9243501532397165,-0.24079151315955327,-0.9822422889918632,0.6690371523904035,-0.9640762487703611,-0.3736516887675261,0.9195414918908393,-0.9588406377741007,-0.9880056340883656,-0.9849053613674141,0.35314475948555935,0.8153295905650351,0.0143228579842265,-0.17677073377320246,0.22526809881752574,0.5624489025726975,COMPLETE
11,0.374074074074074,2026-07-31 17:41:47.676222,2026-07-31 17:41:47.773352,0 days 00:00:00.097130,0.09669346026086748,0.40114727288499236,0.2245482773366777,-0.8912768562858364,-0.33851066666412544,0.5556075626373411,0.3790732022412838,0.4703411081886899,-0.9590491636124572,0.025202101566028423,-0.8303414758371872,-0.30473313900683485,0.2181477268674888,-0.20755353622726846,-0.9904074323998356,0.9863237449175988,-0.18428233609009093,COMPLETE
12,0.45925925925925926,2026-07-31 17:41:47.773856,2026-07-31 17:41:47.878247,0 days 00:00:00.104391,-0.2534690902774849,-0.08007168056657055,-0.052726072149476666,-0.4655654211062931,0.4481255720989168,-0.25521998443259003,0.3002747729251387,0.4186970223720153,-0.6431462187452861,0.9960531548078434,0.09210041432344132,0.2719783111998743,0.9920339787224264,-0.10290388621984806,-0.37417773836692814,0.630620793245283,0.1770404627054513,COMPLETE
13,0.42345679012345677,2026-07-31 17:41:47.878762,2026-07-31 17:41:47.980811,0 days 00:00:00.102049,-0.2759913297691593,-0.14488476939150297,-0.09600478786959654,-0.47968284093299307,0.4539295035760891,-0.2387811444980078,-0.9824323369183005,0.9163507087562108,-0.6690028165973003,-0.42795838706890443,0.16502176448806644,0.2586573320596305,0.9836235688418526,0.3745022641754516,0.37129858822734085,0.6306804863936252,0.31570678358957494,COMPLETE
14,0.40493827160493834,2026-07-31 17:41:47.981508,2026-07-31 17:41:48.088289,0 days 00:00:00.106781,-0.1362844280006465,-0.19891801574937082,-0.10933595444927588,-0.411161773424933,0.4518934101532577,-0.1703980259298683,0.18384996618547278,0.9652228086970658,-0.6319479152687382,-0.5542975078192152,0.14737893501118393,0.21502484945269387,0.9304650357583892,0.3568373581235835,0.40100335745681326,0.30903365296595126,0.9728834078520453,COMPLETE
15,0.397530864197531,2026-07-31 17:41:48.089327,2026-07-31 17:41:48.207683,0 days 00:00:00.118356,-0.623976245264257,-0.0831983039966441,-0.41710183894457253,-0.48005153966284586,0.48715495151177735,-0.16369183543585186,-0.43127962629555305,0.6744259100476602,-0.6490032796393567,-0.35719102216329646,-0.041293645219514716,0.9924507688104907,0.3326447301362747,0.4638338855657612,0.36999283895131874,0.9626261735165866,0.4334381528018362,COMPLETE
16,0.2975308641975309,2026-07-31 17:41:48.208255,2026-07-31 17:41:48.307499,0 days 00:00:00.099244,0.43408939717886275,-0.6997050159837794,0.08408283995293658,-0.49429371511594294,0.9532427305202423,-0.08028187058860015,0.6929197768116201,0.17473779583609972,-0.6378664004888496,-0.7910087661855049,-0.07796387864327547,0.18592369047530247,0.9902616930888214,0.1398109512594805,0.9407596098036102,0.4889677843811189,-0.042819471683665816,COMPLETE
17,0.4320987654320988,2026-07-31 17:41:48.308105,2026-07-31 17:41:48.407644,0 days 00:00:00.099539,-0.2232128346985132,-0.02165489808897819,0.028395747118867554,-0.23012162244594725,0.40047659430202776,-0.3483754878356032,0.05831395240427378,0.7277196053010071,0.33616775298568646,-0.34666176137414684,0.23634217060658527,-0.5741408651270137,0.6889821104847563,0.6923736727924948,0.321286771269629,0.0878539456868411,0.35851019864366934,COMPLETE
18,0.4493827160493828,2026-07-31 17:41:48.408195,2026-07-31 17:41:48.508738,0 days 00:00:00.100543,-0.02844251489635724,0.03012802868087064,0.6470030534415299,-0.1555017120247278,0.6801035372007618,-0.6048912292002873,0.13706936434952505,0.6573671829247659,0.4118153309421916,0.2174684936912855,0.4736462681173611,-0.5328546437031281,0.6807327547051377,0.952993649778614,-0.10987117492123066,-0.0009542962297280494,0.6683716780473439,COMPLETE
19,0.4197530864197532,2026-07-31 17:41:48.509443,2026-07-31 17:41:48.606847,0 days 00:00:00.097404,-0.040427439769150864,-0.6767172685640789,0.9704154951405468,-0.23683902256721526,0.6999428697090418,-0.6822611732735753,0.21395782650806658,0.07368046930339994,0.5310537360544682,0.36693601389004926,0.5049654188510381,-0.7060223786506945,0.02579093068972392,-0.37613540729798967,-0.15301033057925695,-0.0385900838770437,0.6906596773436692,COMPLETE
20,0.46296296296296297,2026-07-31 17:41:48.607596,2026-07-31 17:41:48.707085,0 days 00:00:00.099489,-0.663576625697877,0.04168196355309739,0.6266759592097396,-0.6471056742008776,0.7110104357478344,-0.9573088021847928,0.6020174688008038,0.2131250925517446,0.8775621057080374,0.1746686977420236,0.9481679205274569,-0.48860423758399557,0.35362593550950283,0.9705539126035696,-0.4016880363171801,0.4371507299238506,0.9916626369983647,COMPLETE
