ranking,top_k,selections,hits,precision,daily_basket_success,run_name,lift
base,1,41,18,0.43902439024390244,0.43902439024390244,production_refit_e4_1d,0.0
base,3,123,66,0.5365853658536586,0.8536585365853658,production_refit_e4_1d,0.0
base,5,205,108,0.526829268292683,0.926829268292683,production_refit_e4_1d,0.0
base,10,410,201,0.4902439024390244,0.975609756097561,production_refit_e4_1d,0.0
base,20,820,388,0.47317073170731705,0.975609756097561,production_refit_e4_1d,0.0
base,30,1230,580,0.4715447154471545,0.975609756097561,production_refit_e4_1d,0.0
base_plus_pattern,1,41,23,0.5609756097560976,0.5609756097560976,production_refit_e4_1d,0.12195121951219517
base_plus_pattern,3,123,69,0.5609756097560976,0.9512195121951219,production_refit_e4_1d,0.024390243902439046
base_plus_pattern,5,205,114,0.5560975609756098,0.9512195121951219,production_refit_e4_1d,0.029268292682926855
base_plus_pattern,10,410,200,0.4878048780487805,0.975609756097561,production_refit_e4_1d,-0.0024390243902439046
base_plus_pattern,20,820,383,0.46707317073170734,0.975609756097561,production_refit_e4_1d,-0.006097560975609706
base_plus_pattern,30,1230,563,0.45772357723577234,0.975609756097561,production_refit_e4_1d,-0.013821138211382145
