horizon_day,date,ticker,previous_expected_close,expected_close,expected_daily_return,median_daily_return,probability_daily_up,downside_p10,upside_p90,rank
1,2026-07-31,MAPB,1155.0,1172.2238,0.014912319,0.018701196,0.8,-0.0033168550580739975,0.029366372153162956,46
1,2026-07-31,RONY,1300.0,1318.9735,0.0145950075,0.0030874014,1.0,0.0030874013900756836,0.03527378663420677,47
1,2026-07-31,IBOS,63.0,63.90151,0.0143096205,0.00029313564,1.0,0.0002931356430053711,0.03533434867858887,48
1,2026-07-31,SMMT,1835.0,1861.2451,0.01430254,0.010986686,1.0,0.008961081504821777,0.023364972323179245,49
1,2026-07-31,RUNS,64.0,64.899666,0.014057279,0.017466664,1.0,0.007238507270812988,0.01746666431427002,50
1,2026-07-31,GOOD,286.0,290.01468,0.014037311,0.020516634,0.8,-0.00038498640060424805,0.022627925500273705,51
1,2026-07-31,SRTG,1735.0,1759.3121,0.014012766,0.011069536,1.0,0.010437297634780407,0.019710039719939232,52
1,2026-07-31,INTA,61.0,61.85441,0.014006639,0.015657425,1.0,0.010809588246047497,0.015657424926757812,53
1,2026-07-31,TAYS,50.0,50.695107,0.013902187,0.013902187,1.0,0.01390218734741211,0.01390218734741211,54
1,2026-07-31,SOFA,212.0,214.92178,0.013781905,0.020982265,0.6,-0.008728432469069958,0.034863874316215515,55
1,2026-07-31,BAPI,20.0,20.270405,0.013520276,0.00080037117,0.6,-0.0625486969947815,0.10975542664527893,56
1,2026-07-31,TRIS,165.0,167.21494,0.013423825,0.013576031,1.0,0.0083786491304636,0.01839613914489746,57
1,2026-07-31,NAYZ,55.0,55.730633,0.0132842185,0.020164728,0.6,-0.007064700126647949,0.03134767711162567,58
1,2026-07-31,TRST,462.0,468.118,0.013242459,0.011003971,1.0,0.009316968731582165,0.018968986347317696,59
1,2026-07-31,AYAM,414.0,419.4621,0.013193476,0.015407443,0.6,-0.009205627255141735,0.033794619143009186,60
1,2026-07-31,FOOD,176.0,178.30743,0.013110399,0.01146698,1.0,0.01146697998046875,0.015575528144836426,61
1,2026-07-31,ATIC,474.0,480.16278,0.013001716,0.013440132,0.8,-0.002270638942718506,0.027631185948848724,62
1,2026-07-31,AMFG,3200.0,3240.7388,0.012730884,0.0136653185,0.8,0.0016234875656664371,0.024053189903497696,63
1,2026-07-31,SIPD,680.0,688.5248,0.012536394,0.018232465,0.8,-0.01022804994136095,0.029361724853515625,64
1,2026-07-31,BOBA,234.0,236.90059,0.012395692,0.012440681,0.8,0.0028344392776489258,0.020333409309387207,65
1,2026-07-31,PAMG,56.0,56.688835,0.012300694,0.012924314,0.8,-0.005631935782730579,0.02948615327477455,66
1,2026-07-31,ABDA,3420.0,3461.1328,0.012027144,0.012027144,1.0,0.012027144432067871,0.012027144432067871,67
1,2026-07-31,IMPC,1525.0,1543.3104,0.012006855,0.009363174,0.8,-0.009174752049148083,0.03583213686943054,68
1,2026-07-31,TSPC,2860.0,2893.8792,0.011845851,0.008828402,1.0,0.005083918571472168,0.020621871575713158,69
1,2026-07-31,ALDO,830.0,839.7665,0.011766886,0.0091433525,0.8,-0.003347635269165039,0.028826020658016205,70
1,2026-07-31,UVCR,147.0,148.64966,0.011222112,0.016655922,0.8,-0.0073702214285731316,0.02636701986193657,71
1,2026-07-31,ROTI,585.0,591.29834,0.010766411,0.008382559,1.0,0.006199383642524481,0.01774425432085991,72
1,2026-07-31,AGII,2890.0,2920.69,0.010619402,0.008298874,0.8,-5.955695814918727e-05,0.024667810648679733,73
1,2026-07-31,CYBR,545.0,550.7462,0.010543406,0.0054684877,0.8,-0.008195936679840088,0.03179886192083359,74
1,2026-07-31,PBID,535.0,540.59875,0.010464978,0.0058248043,1.0,0.0012906789779663086,0.022794317454099655,75
1,2026-07-31,PSAB,426.0,430.31186,0.010121727,0.0110884905,0.8,0.0036607743240892887,0.015400528907775879,76
1,2026-07-31,BTPN,2150.0,2171.576,0.010035301,0.008284688,1.0,0.005484866909682751,0.015286373905837536,77
1,2026-07-31,WEGE,50.0,50.494987,0.009899735,0.00980556,1.0,0.009805560111999512,0.010088086128234863,78
1,2026-07-31,CHIP,915.0,923.94934,0.009780645,0.0120841265,1.0,0.003906607627868652,0.013782071880996227,79
1,2026-07-31,ASHA,56.0,56.54588,0.009747875,0.013189435,0.8,-0.008431804366409779,0.02586340717971325,80
1,2026-07-31,KKES,67.0,67.64894,0.009685623,0.012811422,0.8,-0.014799511060118675,0.03015716001391411,81
1,2026-07-31,BATA,59.0,59.56894,0.009643078,0.009643078,1.0,0.009643077850341797,0.009643077850341797,82
1,2026-07-31,SDPC,181.0,182.67775,0.0092693325,0.007908702,1.0,0.006549262907356024,0.012601708993315697,83
1,2026-07-31,TOOL,65.0,65.59688,0.009182775,0.010426521,0.6,-0.009027588181197643,0.02654104121029377,84
1,2026-07-31,SMMA,20200.0,20385.34,0.009175253,0.0071382523,1.0,0.001392364501953125,0.01797664165496826,85
1,2026-07-31,RIGS,665.0,671.0512,0.009099555,0.008420587,1.0,0.007586288265883923,0.011265897192060947,86
1,2026-07-31,HOPE,204.0,205.79614,0.008804572,0.0152795315,0.6,-0.02268803119659424,0.0369587168097496,87
1,2026-07-31,PRAY,720.0,726.3172,0.008773875,0.01198566,0.8,-0.0021701576188206673,0.016178131103515625,88
1,2026-07-31,PTPW,1120.0,1129.8259,0.008773088,0.006880045,1.0,0.006880044937133789,0.012559174560010433,89
1,2026-07-31,IRRA,374.0,377.16595,0.008465099,0.006784916,1.0,0.0038876296021044254,0.013476776890456676,90
1,2026-07-31,BDKR,156.0,157.30594,0.008371448,0.009106994,0.8,-0.0031651020981371403,0.019714711233973503,91
1,2026-07-31,BAUT,29.0,29.238083,0.008209777,0.0036526918,0.6,-0.011277830228209496,0.028980111703276634,92
1,2026-07-31,CSAP,288.0,290.34338,0.008136749,0.0055134296,1.0,0.00036101340083405375,0.019029663875699043,93
1,2026-07-31,PSGO,196.0,197.58438,0.008083534,0.008620381,1.0,0.0038388490211218596,0.011505174450576305,94
1,2026-07-31,MEGA,1990.0,2006.0076,0.008044017,0.009487748,0.8,-0.0007086158730089664,0.015352915972471237,95
1,2026-07-31,KKGI,272.0,274.1806,0.008016944,0.0095819235,1.0,0.0056694746017456055,0.009581923484802246,96
1,2026-07-31,SURE,2760.0,2781.7786,0.007890796,0.010189652,1.0,0.004074740223586559,0.010489463806152344,97
1,2026-07-31,PGAS,1500.0,1511.7578,0.007838607,0.006769657,0.6,-0.002774059772491455,0.02033858187496662,98
1,2026-07-31,IBFN,63.0,63.486073,0.0077153444,0.0077153444,1.0,0.007715344429016113,0.007715344429016113,99
1,2026-07-31,SAMF,274.0,276.0513,0.0074864626,0.0066900253,0.8,0.001280331751331687,0.01448902953416109,100
1,2026-07-31,BPII,432.0,435.2189,0.0074511645,0.0036263466,0.8,-0.001779997255653143,0.01973874494433403,101
1,2026-07-31,KLAS,75.0,75.55604,0.0074138404,0.00069987774,0.6,-0.011235523037612438,0.03146693482995033,102
1,2026-07-31,HDIT,50.0,50.369118,0.0073823333,0.0127180815,0.6,-0.0007095217588357627,0.0127180814743042,103
1,2026-07-31,MSIN,390.0,392.86847,0.00735507,0.015601039,0.6,-0.014849841594696045,0.025436997413635254,104
1,2026-07-31,MARK,1085.0,1092.9121,0.0072923065,0.0036107302,0.8,-0.01636711321771145,0.033853910863399506,105
1,2026-07-31,KOCI,97.0,97.686424,0.007076478,0.0014300346,1.0,0.0014300346374511719,0.018369361758232117,106
1,2026-07-31,AVIA,318.0,320.2157,0.006967592,0.0075763464,0.8,0.0007990838494151831,0.012159109115600586,107
1,2026-07-31,MEDS,75.0,75.51905,0.0069206,0.017550707,0.6,-0.009381413459777832,0.017978930845856667,108
1,2026-07-31,IKPM,183.0,184.24786,0.00681895,0.006358981,0.8,-0.0026672957465052605,0.016765164211392403,109
