ticker,last_close,expected_close_10bar,expected_return_10bar,median_return_10bar,probability_up,downside_p10,expected_peak_return_10bar,forecast_dispersion,predicted_up,rank
FAST,310.0,336.48413,0.08543266050277216,0.08076920047883074,1.0,0.044615458826864886,0.10623676915322586,0.04200482049741757,True,1
SINI,7125.0,7718.371,0.08328009868421057,0.09043064692982461,0.8,0.0027863898026316176,0.0947141173245614,0.08815161103923297,True,2
TIFA,320.0,345.76013,0.08050043106079097,0.0623266220092773,0.6,-0.00896295547485355,0.09708570480346679,0.09428036301220492,True,3
MSIE,103.0,110.83075,0.07602669428853157,0.06477622615480882,1.0,0.04680646877844356,0.0891734891724818,0.03482354003102436,True,4
IFSH,1090.0,1159.9679,0.06419072982368121,0.08901579970613538,0.8,-0.08169151376146788,0.11849427949397935,0.1474127301206721,True,5
ELTY,30.0,31.902637,0.06342118581136065,0.08001823425292964,0.8,-0.008633728027343766,0.07920013427734371,0.07078612304870112,True,6
BAPI,20.0,21.165422,0.05827108383178712,0.05504417419433594,1.0,0.04741098403930666,0.06520627975463866,0.01182753490695013,True,7
HADE,18.0,19.038616,0.05770098368326826,0.04965580834282779,1.0,0.03024790022108297,0.0622388627794054,0.02882361152959201,True,8
NSSS,1090.0,1148.4945,0.05366472996702978,0.037281169366399025,1.0,0.03029852350917426,0.07858055744696105,0.034824858439979726,True,9
MAPB,1165.0,1227.2468,0.05343083590397,0.03362487007108372,1.0,0.01173413190718886,0.057061950945547266,0.05830585667653384,True,10
SOCI,440.0,463.23438,0.05280535611239345,0.06087590997869308,0.8,-0.007897338867187485,0.059419874711470186,0.058497330347773185,True,11
TAMU,21.0,21.960142,0.04572107224237354,0.05179986499604716,1.0,0.0337451753162203,0.04576392400832403,0.01089662217762692,True,12
HRME,42.0,43.82863,0.04353875659760975,0.053365889049711734,1.0,0.00859852745419456,0.048478771391369066,0.03314716988395174,True,13
ANDI,17.0,17.694311,0.04084183188045727,0.05160006354836866,0.8,-0.005437402164234807,0.06155662536621094,0.045925884426467216,True,14
IKAI,20.0,20.814686,0.040734214782714814,0.04277362823486319,0.8,-0.017224216461181684,0.06587438583374024,0.055525150352318337,True,15
RLCO,5575.0,5800.5923,0.04046493133408071,0.033669510229820565,1.0,0.01846475616591925,0.05930153447309414,0.0290573918525401,True,16
HATM,570.0,590.36414,0.03572648968612939,0.04231374640213814,0.8,0.01339406866776316,0.03804529022752194,0.023061809215182614,True,17
ISAP,24.0,24.85288,0.035536670684814455,0.03707472483317065,1.0,0.027383915583292628,0.04244165420532227,0.0077670262369,True,18
IKAN,83.0,85.937706,0.035394103268542976,0.016205017825207113,1.0,0.008311517554593452,0.04146412309393823,0.05019066407100227,True,19
SMIL,398.0,411.88818,0.03489488764623903,0.02730740494464512,1.0,0.014971417757733984,0.035872615641685,0.02161836323955476,True,20
GMTD,1375.0,1422.4434,0.034504296874999986,0.03856756036931808,0.8,-0.01293140980113636,0.03775712002840914,0.05101474790988019,True,21
INPS,660.0,682.38086,0.033910411487926104,0.028013657078598486,1.0,0.018113070401278363,0.04117751612807767,0.022530914289852946,True,22
KKES,67.0,69.1996,0.03282983125145753,0.03056437933622891,1.0,0.00860884936887829,0.05164268835267025,0.025237286550840194,True,23
ALKA,1715.0,1770.8293,0.03255358281705543,0.024412923651603524,1.0,0.02163905908345485,0.04392037172011665,0.020285764704062393,True,24
BLES,202.0,208.48051,0.03208170975788986,0.02957893598197714,0.8,-0.025910995030167115,0.05101958926361392,0.05683588581641551,True,25
MIRA,21.0,21.660622,0.03145817347935267,0.03258814130510612,0.8,0.011407924833751816,0.040953990391322526,0.020935087373896155,True,26
ESTI,171.0,176.31491,0.031081296686540583,0.031233759651407178,1.0,0.020947729634959833,0.050862826520239414,0.010636354111505925,True,27
OMRE,1080.0,1113.4342,0.03095752857349541,0.028954060872395937,1.0,0.00860249837239584,0.04507177282262735,0.02650481784458126,True,28
MPPA,47.0,48.341713,0.028547100310629993,0.016320005376288194,1.0,0.01022288545649106,0.04492992644614362,0.0247002434476053,True,29
NASA,30.0,30.84798,0.028265940348307338,0.021973228454589933,0.8,-0.012881927490234356,0.04380730946858724,0.044236775770324664,True,30
AIMS,392.0,402.9652,0.02797248996033961,0.02234275973573019,1.0,0.006888502471301062,0.040588955003388036,0.023236132574893768,True,31
TBMS,1160.0,1188.2938,0.024391247979525854,0.027983145878232696,1.0,0.009165712553879369,0.030595050680226298,0.014156547662678008,True,32
STAA,1095.0,1120.8768,0.023631809182363028,0.027300161422659786,1.0,0.013285374750285373,0.02673096817922378,0.010548596057504616,True,33
URBN,208.0,212.852,0.02332688845120945,0.015876476581279997,1.0,0.004041921175443219,0.032891625624436614,0.021304144621663187,True,34
