horizon_day,date,ticker,previous_expected_close,expected_close,expected_daily_return,median_daily_return,probability_daily_up,downside_p10,upside_p90,rank
1,2026-08-03,IKAI,20.0,20.445053,0.022252643,0.037504554,0.6,-0.01490240078419447,0.051270030438899994,46
1,2026-08-03,BNBR,98.0,100.16478,0.022089649,0.019230843,1.0,0.012910103425383568,0.032858822494745255,47
1,2026-08-03,RAAM,204.0,208.48087,0.021965003,0.027573586,1.0,0.012191200628876686,0.027573585510253906,48
1,2026-08-03,BAPA,167.0,170.6063,0.021594549,0.020453095,1.0,0.02045309543609619,0.023306727409362793,49
1,2026-08-03,DOID,218.0,222.65398,0.021348547,0.01856041,1.0,0.01012733019888401,0.03458993136882782,50
1,2026-08-03,TIFA,342.0,349.2273,0.021132458,0.018462896,0.6,-0.061984241008758545,0.11211327463388443,51
1,2026-08-03,FITT,350.0,357.3775,0.021078562,0.0108908415,1.0,0.004571318626403809,0.042679667472839355,52
1,2026-08-03,LPGI,615.0,627.8991,0.02097423,0.02813077,1.0,0.006112408824265003,0.03212640434503555,53
1,2026-08-03,PURA,32.0,32.668736,0.020897985,0.003571868,0.6,-0.007511591538786888,0.0659010112285614,54
1,2026-08-03,ARKA,22.0,22.443573,0.020162463,0.020162463,1.0,0.020162463188171387,0.020162463188171387,55
1,2026-08-03,GZCO,176.0,179.5148,0.019970465,0.034276605,0.6,-0.022468458861112595,0.05774948373436928,56
1,2026-08-03,MARK,1070.0,1091.3226,0.01992767,0.01290381,1.0,0.00360262393951416,0.03935384750366211,57
1,2026-08-03,URBN,206.0,210.06885,0.019751763,0.027412534,1.0,0.007483148947358131,0.0274125337600708,58
1,2026-08-03,RAJA,890.0,907.5283,0.01969471,0.012701631,0.8,0.0027333498001098633,0.0412319153547287,59
1,2026-08-03,KSIX,284.0,289.55035,0.01954348,0.017989874,0.8,0.006979441735893488,0.033006906509399414,60
1,2026-08-03,SAPX,212.0,216.06546,0.01917665,0.019706607,1.0,0.010773682966828346,0.026017069816589355,61
1,2026-08-03,HUMI,137.0,139.55978,0.018684614,0.00860548,0.8,-0.010910069569945335,0.05046272277832031,62
1,2026-08-03,BSML,525.0,534.7272,0.018528033,0.014077902,1.0,0.005960035603493452,0.032987356185913086,63
1,2026-08-03,GMFI,54.0,54.963154,0.017836178,0.015684962,0.8,0.0016457200981676579,0.03635852038860321,64
1,2026-08-03,CTTH,125.0,127.19838,0.01758703,0.015184164,0.6,-0.017978250980377197,0.05966777354478836,65
1,2026-08-03,JTPE,600.0,610.4501,0.01741674,0.021187186,1.0,0.004931235685944557,0.02778603881597519,66
1,2026-08-03,SOUL,37.0,37.64248,0.017364215,0.019420266,1.0,0.010757947340607643,0.02191443368792534,67
1,2026-08-03,DSNG,1335.0,1357.2311,0.016652465,0.018728256,0.8,-0.0009803054854273796,0.03163444995880127,68
1,2026-08-03,SONA,2340.0,2378.9253,0.016634703,0.014520049,1.0,0.009752226062119007,0.02535688690841198,69
1,2026-08-03,BOBA,228.0,231.77605,0.016561627,0.009668589,1.0,0.009147167205810547,0.03000786155462265,70
1,2026-08-03,DEWA,460.0,467.54388,0.01639979,0.031182408,0.8,-0.009246730245649815,0.03260841220617294,71
1,2026-08-03,BELL,114.0,115.82922,0.016045857,0.017013907,0.8,0.0016930578276515007,0.029430601745843887,72
1,2026-08-03,UVCR,147.0,149.3243,0.015811468,0.007719159,0.8,-0.009239482693374157,0.04423513263463974,73
1,2026-08-03,BLUE,2430.0,2467.6333,0.015486861,0.003704071,1.0,0.0027802467811852694,0.03997625783085823,74
1,2026-08-03,INDO,176.0,178.69763,0.015327454,0.023900867,0.8,-0.002048682887107134,0.02723531797528267,75
1,2026-08-03,BAIK,775.0,786.5149,0.014857948,0.016597271,0.8,0.004293573088943958,0.023502396419644356,76
1,2026-08-03,INTA,61.0,61.905994,0.014852405,0.014852405,1.0,0.014852404594421387,0.014852404594421387,77
1,2026-08-03,BPFI,260.0,263.85614,0.01483128,0.014420986,1.0,0.005988812539726496,0.023499345406889915,78
1,2026-08-03,BINO,108.0,109.59489,0.0147675155,0.018562436,0.8,-0.009919583797454834,0.03812884911894798,79
1,2026-08-03,HADE,18.0,18.258266,0.014348125,0.00525403,0.6,-0.0160561203956604,0.053419943898916245,80
1,2026-08-03,DIGI,29.0,29.415836,0.014339209,0.014339209,1.0,0.014339208602905273,0.014339208602905273,81
1,2026-08-03,ITMA,1335.0,1354.0642,0.014280295,0.015381813,1.0,0.012077259831130505,0.015381813049316406,82
1,2026-08-03,KBAG,43.0,43.607235,0.014121818,0.007879615,1.0,0.00659024715423584,0.028153464198112488,83
1,2026-08-03,DNAR,124.0,125.751076,0.01412158,0.013267636,1.0,0.009859561920166016,0.018651271238923073,84
1,2026-08-03,DEFI,105.0,106.44722,0.013782954,0.018355727,0.6,-0.004561888985335827,0.029195547103881836,85
1,2026-08-03,CMRY,4600.0,4663.0117,0.013698149,0.007535577,1.0,0.0023573399521410465,0.02909982018172741,86
1,2026-08-03,PART,102.0,103.37457,0.013476228,0.011183143,1.0,0.01118314266204834,0.018062399700284004,87
