ticker,last_close,expected_close_20d,expected_return_20d,median_return_20d,probability_up,downside_p10,expected_peak_return_20d,forecast_dispersion,predicted_up,rank
VIVA,42.0,52.77137,0.2564611344110398,0.23067665100097656,0.6,-0.10825950985863095,0.32387313842773435,0.3714427351916654,True,1
BWPT,89.0,107.20625,0.2045646753204003,0.20695452743701725,1.0,0.049097142594583906,0.3260666065001755,0.16720122988027342,True,2
HILL,16.0,19.201096,0.20006847381591797,0.20006847381591797,1.0,0.20006847381591797,0.20006847381591797,0.0,True,3
NSSS,1105.0,1302.2097,0.17847032089578624,0.1090456863334277,0.8,-0.0830610263185803,0.26683045814479633,0.31767828697566086,True,4
BAPI,21.0,24.371922,0.16056771051316032,0.09227507455008377,0.8,-0.02981807163783487,0.3266079312279111,0.22206973047505574,True,5
MDIA,191.0,221.47493,0.15955455839946003,0.2533350440220059,0.8,-0.0178157466868456,0.20480650257689792,0.16173860990958674,True,6
TAMA,254.0,289.68393,0.14048791119432824,0.19639767624261806,0.6,-0.028794464351624006,0.21584845114880657,0.16289792839135706,True,7
PKPK,3930.0,4416.2812,0.12373567459844151,0.09157708631520367,0.6,-0.054362538267334615,0.16124409838183845,0.18758884867838502,True,8
WGSH,169.0,189.69766,0.12247130264191938,0.17489515677006295,1.0,0.029043344350961498,0.12917411849343569,0.08272029951765279,True,9
TIFA,342.0,381.89856,0.11666247273049161,0.010402300204449988,0.6,-0.0801293445609466,0.2083895320780793,0.32412231386769885,True,10
SSMS,1000.0,1111.7177,0.11171770019531246,0.16384851074218743,0.6,-0.20436325683593753,0.2031081298828125,0.2931086451271677,True,11
BSML,525.0,574.9078,0.0950624302455357,0.11065511067708322,0.8,0.025493629092261917,0.13376053292410717,0.06916530694712295,True,12
GULA,790.0,865.01086,0.09495039927808546,0.11343097928204116,0.8,-0.005312067345727844,0.11354869214794303,0.09893970071501809,True,13
DOOH,248.0,265.7085,0.07140525079542592,0.020450099822013623,0.6,-0.017118257091891364,0.09013317477318553,0.10739222004229922,True,14
ARGO,1170.0,1252.93,0.07088038778712606,0.06762987446581192,0.8,0.015684595352564126,0.10738466963808761,0.05515474788286683,True,15
MLPT,1590.0,1702.0833,0.07049261129127356,0.0005856304048741379,0.6,-0.08581220518867924,0.1511263788571148,0.22865930532915657,True,16
URBN,206.0,219.50447,0.06555562436001976,0.06533220902229986,1.0,0.05686513660023511,0.06707785893412473,0.008898181455619368,True,17
GGRM,19000.0,20235.07,0.06500370065789476,0.07934272203947379,0.8,-0.00019773848684205564,0.08398120888157898,0.06240525769634788,True,18
EPAC,62.0,65.90363,0.0629617998676916,0.04202307424237661,0.8,-0.004314201108870951,0.08196582178915697,0.07457755749856947,True,19
ADMG,222.0,235.16565,0.059304699597058017,0.026909424377991265,0.6,-0.019295013702667528,0.08343470118067287,0.0869211413761482,True,20
CANI,135.0,142.76773,0.05753874602141203,0.057785260235821756,1.0,0.05696695963541667,0.05753874602141203,0.0006149981927454886,True,21
SMIL,400.0,422.42368,0.05605920410156253,0.004931259155273482,0.6,-0.006360900878906217,0.07088751220703124,0.08616437408227605,True,22
HOMI,177.0,186.70815,0.05484827763616702,0.06970999335165073,0.8,0.014633264918785274,0.09088831325035311,0.03979001867223455,True,23
KKES,66.0,69.58971,0.05438954902417734,0.12740291248668334,0.6,-0.17140413920084638,0.13108090487393467,0.20985474099166276,True,24
SOHO,1200.0,1264.9156,0.05409639485677085,0.042816365559895875,1.0,0.04273893229166661,0.07008927408854171,0.023819020653262326,True,25
UNSP,206.0,216.88359,0.05283296455457376,0.05283296455457376,1.0,0.05283296455457376,0.05283296455457376,0.0,True,26
AMMN,4100.0,4316.5557,0.05281845464939026,0.050813286013719594,0.6,-0.08188937452362802,0.10573258860518289,0.13359713652168798,True,27
KLAS,75.0,78.90703,0.05209377034505205,0.03843109130859368,0.8,0.0010873006184895853,0.08000518798828123,0.05343358792924645,True,28
BBMD,1960.0,2061.4214,0.05174573003029339,0.03840786680883301,0.8,-0.006559522979113552,0.06543855628188777,0.059789199957540985,True,29
TKIM,6500.0,6836.0967,0.05170715144230773,0.08679424579326933,0.6,-0.05809438100961541,0.11556708233173078,0.10504216066681389,True,30
